id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
999541009847421176,Home in Columbus · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,3672442,Filmon,,Near South,39.93605,-82.97052,Entire home/apt,129,2,5,2023-12-04,2.24,2,0,5,2023-4546
999593511620500175,Home in Columbus · ★New · 2 bedrooms · 2 beds · 1 bath,337600228,Issac,,Near North/University,39.99008000446684,-82.99645345916677,Entire home/apt,64,30,0,,,2,269,0,
999869049323248340,Rental unit in Columbus · 2 bedrooms · 2 beds · 1 bath,533073266,Advent,,North Linden,40.015335798082305,-82.96709405429785,Entire home/apt,86,1,0,,,7,264,0,2021-1062
999904964651182196,Condo in Columbus · ★4.67 · 1 bedroom · 3 beds · 1 bath,165422724,Will And Jessie,,Hilltop,39.95744888407833,-83.08187075084406,Entire home/apt,67,1,6,2023-12-16,5.00,4,149,6,2023-4778
999980697197164755,Home in Columbus · 3 bedrooms · 2 beds · 2 baths,528133014,Keith,,Eastmoor/Walnut Ridge,39.9381748,-82.91282290000001,Entire home/apt,355,2,2,2023-10-22,0.83,1,180,2,2023-4154
1000637489089938969,Rental unit in Columbus · ★3.75 · 1 bedroom · 1 bed · 1 bath,507778434,LC GuestHouse,,Downtown,39.95726519999999,-83.0000025,Entire home/apt,123,1,4,2023-11-19,2.11,21,270,4,2023-2698
1000639220954497371,Home in Columbus · 4 bedrooms · 4 beds · 2.5 baths,63469270,Katie,,Near South,39.943407,-82.98884079999999,Entire home/apt,305,2,0,,,29,231,0,2023-2020
1000645092029118307,Home in Columbus · ★4.83 · 3 bedrooms · 4 beds · 2.5 baths,158439641,GH Hospitality,,Near South,39.938401524686206,-82.99166375324864,Entire home/apt,315,1,6,2023-12-10,2.69,89,349,6,2023-4507
1000668440001376713,Rental unit in Columbus · ★4.80 · 1 bedroom · 1 bed · 1 bath,507778434,LC GuestHouse,,Downtown,39.95726519999999,-83.0000025,Entire home/apt,109,1,5,2023-11-19,2.54,21,270,5,2023-2706
1000673788459291069,Rental unit in Columbus · ★4.50 · 1 bedroom · 1 bed · 1 bath,507778434,LC GuestHouse,,Downtown,39.95726519999999,-83.0000025,Entire home/apt,101,1,4,2023-11-21,2.03,21,269,4,2023-2690
1000689168190754679,Rental unit in Columbus · 2 bedrooms · 2 beds · 2 baths,432234139,Sara,,Near South,39.950040931216954,-82.9658802252384,Entire home/apt,72,30,0,,,14,251,0,2023-5252
1000698440077684219,Rental unit in Columbus · ★5.0 · 1 bedroom · 1 bed · 1 bath,507778434,LC GuestHouse,,Downtown,39.95726519999999,-83.0000025,Entire home/apt,114,1,10,2023-12-03,5.00,21,186,10,2023-2713
1000707959897804625,Rental unit in Columbus · ★4.88 · 1 bedroom · 1 bed · 1 bath,507778434,LC GuestHouse,,Downtown,39.95726519999999,-83.0000025,Entire home/apt,117,1,8,2023-11-19,4.07,21,267,8,2023-2711
1001429175523680482,Rental unit in Columbus · ★New · Studio · 1 bed · 1 bath,235497311,Marc (TailwindSTR),,Near North/University,40.0027237690778,-83.00948692536345,Entire home/apt,86,1,1,2023-11-19,0.81,44,69,1,2020-2014
